ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
379162481,Photo,Pelícano Peruano,Pelecanus thagus,,Jory Teltser,2021-09-23,2021,9,23,750,Peru,PE-LIM,Lima,,Isla Pucusana,-12.4758920,-76.8004203,"",,Unspecified,"","",,,,,,,S95051528,"",,,,,Pelecanus thagus,perpel1,Species,7112,,4.82,11,,3280,3281
205152841,Photo,Lechucita Bigotona,Xenoglaux loweryi,,Dubi Shapiro,2011-11-09,2011,11,9,0,Peru,PE-AMA,Amazonas,,ACP Abra Patricia,-5.6871246,-77.7864647,"",Vocalizing,Unspecified,"","",,IBC989055,,,,,S65093330,"",,,"Bird calling on a mossy branch. Elevation: 2272 m. Date added to IBC: September 19, 2016.",,Xenoglaux loweryi,lowowl1,Species,8664,,4.82,11,"",750,503
90428121,Photo,Pingüino de Humboldt,Spheniscus humboldti,,Paul Bourdin,2015-08-28,2015,8,28,830,Peru,PE-ICA,Ica,,RN Islas Ballestas,-13.7360501,-76.3951492,"",,Unspecified,"","",,,,,,,S24799996,"",,,,,Spheniscus humboldti,humpen1,Species,,,4.82,11,,1997,2214
204329641,Photo,Zambullidor de Junín,Podiceps taczanowskii,,Greg  Griffith,2018-06-13,2018,6,13,0,Peru,PE-JUN,Junín,,"Junín National Reserve (-10.9983, -76.0795)",-10.9983000,-76.0795000,"",,Unspecified,"","",,IBC1526895,,,,,S64981043,"",,,"Deep water. Silvery Grebes also present, though most were in shallow water. Elevation: 4080 m. Date added to IBC: November 2, 2018.",,Podiceps taczanowskii,jungre1,Species,1815,,4.67,15,,4000,6000
121501481,Photo,Zambullidor de Junín,Podiceps taczanowskii,,Michael Willison,2018-10-11,2018,10,11,811,Peru,PE-JUN,Junín,,"PE-Junín (-11.2015,-75.9613)",-11.2015500,-75.9613350,"",,Unspecified,"","",,,,,,,S49133146,"",,,,Observed 6.  Estimates of the total population of this endemic flightless grebe are under 300 birds.  Some estimates state closer to 200 birds.,Podiceps taczanowskii,jungre1,Species,1815,,4.69,13,,2758,4608
68172321,Photo,Gritador Unicornio (Camungo),Anhima cornuta,,Bradley Hacker 🦜,2017-08-28,2017,8,28,1039,Peru,PE-MDD,Madre de Dios,,PN Manú--Limonal Ranger Station,-12.2329956,-70.9393094,"",,Unspecified,"","",,,,,,,S39026394,"",,,,,Anhima cornuta,horscr1,Species,,,4.69,13,,2484,3726
61000391,Photo,Pelícano Peruano,Pelecanus thagus,,Anonymous,2011-03-15,2011,3,15,0,Peru,PE-LIM,Lima,,Lima- Shopping Mall Beach,-12.1340585,-77.0344677,"",,Unspecified,"","",,,,,,,S7997978,"",,,,,Pelecanus thagus,perpel1,Species,7112,,4.69,13,,3456,2219
217157541,Photo,Gallareta Gigante,Fulica gigantea,,Lars Petersson,2019-12-09,2019,12,9,1145,Peru,PE-ANC,Ancash,,"Huanzala reservoir, Ancash",-9.8678480,-76.9868140,Adult – 1,,Unspecified,"","",,,,,,,S63849993,"",,,An adult Giant Coot shows its ornamental shield.,,Fulica gigantea,giacoo1,Species,5344,,4.90,10,,1080,1549
214778431,Photo,Gallareta Gigante,Fulica gigantea,,Lars Petersson,2019-12-05,2019,12,5,530,Peru,PE-JUN,Junín,,RN de Junín--Lago Junín/Chinchaycocha,-11.0166885,-76.0913086,Adult – 1,,Unspecified,"","",,,,,,,S63850061,"",,,An adult Giant Coot swimming in the north-western canal.,,Fulica gigantea,giacoo1,Species,5344,,4.90,10,,1080,1585
205374241,Photo,Rayo-de-Sol de Dorso Púrpura,Aglaeactis aliciae,,David Beadle,2015-11-02,2015,11,2,0,Peru,PE-LAL,La Libertad,,El Molino,-7.7592999,-77.7715302,"",,Unspecified,"","",,IBC1107808,,,,,S65114759,"",,,"Perched in roadside scrub. Elevation: 3465 m. Date added to IBC: June 22, 2016.",,Aglaeactis aliciae,pubsun1,Species,4507,,4.90,10,,1701,2433
182738851,Photo,Montañes Barbudo,Oreonympha nobilis,,Roger Ahlman,2019-09-14,2019,9,14,1620,Peru,PE-CUS,Cuzco [Cusco],,Hotel Pakaritampu,-13.2624027,-72.2675794,Adult Male – 1,,Unspecified,"","",,,,,,,S59803914,"",,,,,Oreonympha nobilis,beamou1,Species,4436,,4.90,10,,2072,1627
172494271,Photo,Brillante de Frente Violeta,Heliodoxa leadbeateri,,Alex Wiebe,2019-08-03,2019,8,3,1159,Peru,PE-CUS,Cuzco [Cusco],,Cock-of-the-Rock Lodge & Manu Paradise Lodge,-13.0558486,-71.5452057,"",,Unspecified,"","",,,,,,,S58873812,"",,,,,Heliodoxa leadbeateri,vifbri1,Species,4565,,4.90,10,,,
114152581,Photo,Perdiz Ondulada,Crypturellus undulatus,,Juan José Chalco Luna,2018-07-28,2018,7,28,720,Peru,PE-CUS,Cuzco [Cusco],,Estación Biológica Villa Carmen,-12.8949217,-71.4038157,"",,Unspecified,"","",,,,,,,S48382327,"",,,,,Crypturellus undulatus,undtin1,Species,83,,4.90,10,,2481,3411
68172501,Photo,Gaviotín de Pico Grande,Phaetusa simplex,,Bradley Hacker 🦜,2017-08-28,2017,8,28,1039,Peru,PE-MDD,Madre de Dios,,PN Manú--Limonal Ranger Station,-12.2329956,-70.9393094,"",,Unspecified,"","",,,,,,,S39026394,"",,,,,Phaetusa simplex,labter1,Species,,,4.90,10,,2480,3720
65826971,Photo,Zafiro de Cola Dorada,Chrysuronia oenone,,Paul Fenwick,2017-07-18,2017,7,18,1331,Peru,PE-MDD,Madre de Dios,,Amazonía Lodge,-12.8702100,-71.3756400,"",,Unspecified,"","",,,,,,,S38301555,"",,,,,Chrysuronia oenone,gotsap1,Species,4994,,4.90,10,,2001,2854
64386771,Photo,Golondrina de Mar Chica,Oceanites gracilis,,Brian Sullivan,2017-07-12,2017,7,12,1015,Peru,PE-CAL,El Callao,,"South Pacific Ocean (-12.2750,-77.6357)",-12.2749980,-77.6357250,"",,Unspecified,"","",,,,,,,S38106279,"",,,,,Oceanites gracilis,wvspet1,Species,6691,,4.90,10,,1500,2500
61672801,Photo,Chirigüe de Lomo Brillante,Sicalis uropygialis,,Anonymous,2013-07-01,2013,7,1,1113,Peru,PE-JUN,Junín,,Lago Junin,-11.0406830,-76.0990390,"",,Unspecified,"","",,,,,,,S14981296,"",,,,,Sicalis uropygialis,bryfin1,Species,34311,,4.90,10,,2432,3870
36188751,Photo,Rayo-de-Sol Acanelado,Aglaeactis castelnaudii,,Peter Hawrylyshyn,2016-09-21,2016,9,21,614,Peru,PE-CUS,Cuzco [Cusco],,"-13.1919x-72.2942 - Sep 21, 2016, 6:14 AM",-13.1919210,-72.2941660,Adult,,Unspecified,"","",,,,,,,S31762269,"",,,,,Aglaeactis castelnaudii,whtsun1,Species,4503,,4.90,10,,1662,1662
57351021,Photo,Colibrí de Vientre Rufo,Amazilis amazilia,,Peter Hawrylyshyn,2014-01-15,2014,1,15,1159,Peru,PE-LAM,Lambayeque,,ACP Chaparrí,-6.5396355,-79.4756556,Adult,,Unspecified,"","",,,,,,,S17279604,"",,,,,Amazilis amazilia,amahum1,Species,4993,,4.75,12,,999,999
420667791,Photo,Gaviotín Zarcillo,Larosterna inca,,Oscar Wainwright,2022-01-29,2022,1,29,827,Peru,PE-LIM,Lima,,El Salto del Fraile,-12.1705163,-77.0366330,"",,Unspecified,"","",,,,,,,S102644969,"",,,,,Larosterna inca,incter1,Species,,,5.00,9,,3297,4947
419863741,Photo,Cucarachero Montañes,Troglodytes solstitialis,,Brandon Nidiffer,2022-02-02,2022,2,2,1544,Peru,PE-JUN,Junín,,"Auto selected -11.53201, -74.81573",-11.5320150,-74.8157270,Adult – 1,,Unspecified,"","",,,,,,,S102251502,"",,,,,Troglodytes solstitialis,mouwre1,Species,,,5.00,9,,1859,2789
206176031,Photo,Colibrí de Oasis,Rhodopis vesper,,Lior Kislev,2009-12-17,2009,12,17,0,Peru,PE-ARE,Arequipa,,Colca Canyon,-15.6475000,-72.1527000,"",,Unspecified,"","",,IBC989049,,,,,S65202239,"",,,"on a twig. please visit my website: http://tatzpit.com/Site/en/pages/homePage.asp. Elevation: 1997 m. Date added to IBC: June 21, 2016.",IBC scientific name: Rhodopis vesper vesper.,Rhodopis vesper,oashum1,Species,4661,,5.00,9,,552,750
206135781,Photo,Aguila Harpía,Harpia harpyja,,walter mancilla huaman,2006-05-20,2006,5,20,0,Peru,PE-MDD,Madre de Dios,,Madre de Dios River,-12.3336000,-70.7356000,"","",Unspecified,"","",,IBC1047082,,,,,S65204404,"",,,"Mother with the juvenal chick, 6 to 7 month approximately, the nest was at 30 meter high approximately at Dicterix tree. Actually this place has a gold mining problem. Elevation: 274 m. Date added to IBC: June 21, 2016.",,Harpia harpyja,hareag1,Species,,,5.00,9,Nest,1000,1500
206113241,Photo,Coqueta de Cresta Rufa,Lophornis delattrei,,Arthur Grosset,2018-10-03,2018,10,3,0,Peru,PE-SAM,San Martín,,Waqanki/Quebrada Mishquiyaquillo,-6.0753855,-76.9762793,Adult Male – 1,,Unspecified,"","",,IBC1586794,,,,,S65191634,"",,,"A male perched. Elevation: 984 m. Date added to IBC: May 28, 2019.",IBC scientific name: Lophornis delattrei delattrei.,Lophornis delattrei,ruccoq1,Species,4345,,5.00,9,,1066,1600
205972871,Photo,Nictibio Andino,Nyctibius maculosus,,Lars Petersson,2009-11-01,2009,11,1,0,Peru,PE-CUS,Cuzco [Cusco],,Carretera a Manú--Rocotal Superior (2200-2400m),-13.1442400,-71.5863300,"",,Unspecified,"","",,IBC1320268,,,,,S65188170,"",,,"Andean Potoo perched on its day roost. Go to www.larsfoto.se for more than 4200 species of Birds on photo from Peru and all over the World!. Elevation: 496 m. Date added to IBC: January 1, 2017.",,Nyctibius maculosus,andpot1,Species,3706,,5.00,9,,784,1000
205512761,Photo,Barbudo de Garganta Limón (aurantiicollis/purusianus),Eubucco richardsoni aurantiicollis/purusianus,,Jon Irvine,2018-09-14,2018,9,14,0,Peru,PE-MDD,Madre de Dios,,Los Amigos Biological Station (CICRA),-12.5692243,-70.1002836,Adult Male – 1,,Unspecified,"","",,IBC1617206,,,,,S65115301,"",,,"An Adult Male Perched. Elevation: 273 m. Date added to IBC: October 31, 2019.",IBC scientific name: Eubucco aurantiicollis aurantiicollis.,Eubucco richardsoni,letbar3,Group,,,5.00,9,,1331,1997
205512751,Photo,Carpintero de Cuello Rojo,Campephilus rubricollis,,Jon Irvine,2018-08-09,2018,8,9,0,Peru,PE-MDD,Madre de Dios,,Tambopata Research Center,-13.1341956,-69.6108663,Adult Male,,Unspecified,"","",,IBC1617205,,,,,S65115287,"",,,"An Adult Male on a Trunk. Elevation: 223 m. Date added to IBC: October 31, 2019.",IBC scientific name: Campephilus rubricollis trachelopyrus.,Campephilus rubricollis,renwoo1,Species,11037,,5.00,9,,2076,3114
205512571,Photo,Tororoi Castaño,Grallaria blakei,,Jon Irvine,2018-10-15,2018,10,15,0,Peru,PE-AMA,Amazonas,,ACP Abra Patricia--Owlet Lodge,-5.6978731,-77.8103521,"",,Unspecified,"","",,IBC1617139,,,,,S65115964,"",,,"An Adult with a Worm. Elevation: 2302 m. Date added to IBC: October 30, 2019.",,Grallaria blakei,cheant2,Species,,,5.00,9,,1436,2154
205512491,Photo,Gallineta de Pico Rojo,Mustelirallus erythrops,,Jon Irvine,2018-10-21,2018,10,21,0,Peru,PE-SAM,San Martín,,"Afluente (-7.1839, -76.4953)",-7.1839000,-76.4953000,"",,Unspecified,"","",,IBC1600744,,,,,S65115975,"",,,"A Bird Crossing A Dirt Road Between Rice Paddy Fields. Elevation: 255 m. Date added to IBC: August 11, 2019.",IBC scientific name: Neocrex erythrops.,Mustelirallus erythrops,pabcra,Species,5273,,5.00,9,,1336,2004
205512481,Photo,Mosquerito de Cuello Listado,Mionectes striaticollis,,Jon Irvine,2018-10-23,2018,10,23,0,Peru,PE-AMA,Amazonas,,ACP Abra Patricia,-5.6871246,-77.7864647,Adult – 1,,Unspecified,"","",,IBC1600721,,,,,S65115977,"",,,"An Adult Perched. Elevation: 2267 m. Date added to IBC: August 11, 2019.",IBC scientific name: Mionectes striaticollis palamblae.,Mionectes striaticollis,stnfly1,Species,15547,,5.00,9,,1499,2249
205209531,Photo,Matorralero de Anteojos Negros,Atlapetes melanopsis,,Carlos Calle Quispe,2013-09-30,2013,9,30,0,Peru,PE-JUN,Junín,,Pariahuanca Valley,-11.9745000,-74.9098000,"",,Unspecified,"","",,IBC1060098,,,,,S65098879,"",,,"Black-spectacled Brush-finch (Atlapetes melanopsis). Elevation: 2993 m. Date added to IBC: June 21, 2016.",,Atlapetes melanopsis,bksbrf1,Species,32422,,5.00,9,,571,800
205152891,Photo,Angel-del-Sol Real,Heliangelus regalis,,Dubi Shapiro,2011-11-09,2011,11,9,0,Peru,PE-AMA,Amazonas,,ACP Abra Patricia,-5.6871246,-77.7864647,Adult Male – 1,,Unspecified,"","",,IBC989263,,,,,S65093330,"",,,"Perched Male . Elevation: 2272 m. Date added to IBC: January 14, 2017.",IBC scientific name: Heliangelus regalis regalis.,Heliangelus regalis,roysun1,Species,4326,,5.00,9,,720,480
205133601,Photo,Barbudo de Franja Escarlata (wallacei),Capito wallacei wallacei,,Dubi Shapiro,2014-07-15,2014,7,15,0,Peru,PE-SAM,San Martín,,Flor de Café/Plataforma,-7.3987050,-76.2971100,Adult Male – 1,,Unspecified,"","",,IBC1062855,,,,,S65094102,"",,,"Male perched on a branch. Elevation: 1539 m. Date added to IBC: February 2, 2018.",IBC scientific name: Capito wallacei.,Capito wallacei,scbbar1,Group,10319,,5.00,9,,533,800
204962161,Photo,Colibrí Jaspeado [grupo melanogenys],Adelomyia melanogenys [melanogenys Group],,Marc FASOL,2013-06-19,2013,6,19,0,Peru,PE-CUS,Cuzco [Cusco],,Cock-of-the-Rock Lodge & Manu Paradise Lodge,-13.0558486,-71.5452057,"",,Unspecified,"","",,IBC1038364,,,,,S65085633,"",,,"Perched. Elevation: 1401 m. Date added to IBC: June 21, 2016.",IBC scientific name: Adelomyia melanogenys melanogenys.,Adelomyia melanogenys,spehum2,Group,4362,,5.00,9,,2292,3439
204958021,Photo,Calzadito de Cola Larga (sapphiropygia/catharina),Eriocnemis luciani sapphiropygia/catharina,,Marc FASOL,2013-06-15,2013,6,15,0,Peru,PE-CUS,Cuzco [Cusco],,"Apurimac Valley (-13.4911, -72.7061)",-13.4911000,-72.7061000,"",,Unspecified,"","",,IBC1036947,,,,,S65085576,"",,,"Perched. Elevation: 2240 m. Date added to IBC: June 21, 2016.",IBC scientific name: Eriocnemis sapphiropygia sapphiropygia.,Eriocnemis luciani,savpuf3,Group,4490,,5.00,9,,1688,2532
181758431,Photo,Alcaraván Huerequeque,Burhinus superciliaris,,Andreas Boe,2014-11-11,2014,11,11,0,Peru,PE-LIM,Lima,,"Pantanon de Villa, dry open areas",-12.2199883,-76.9903045,"",,Unspecified,"","",,,,,,,S60435215,"",,,,,Burhinus superciliaris,petkne1,Species,5613,,5.00,9,,3228,4842
175709701,Photo,Barbudo Versicolor,Eubucco versicolor,,Fernando Farias,2019-08-19,2019,8,19,0,Peru,PE-CUS,Cuzco [Cusco],,Ipal Ecolodge,-12.9976073,-72.5421278,"",,Unspecified,"","",,,,,,,S59294364,"",,,,,Eubucco versicolor,verbar1,Species,,,5.00,9,,1417,2124
173379911,Photo,Gavilán de Vientre Gris,Accipiter poliogaster,,Charlotte Byers,2019-07-28,2019,7,28,1517,Peru,PE-MDD,Madre de Dios,,Tambopata Research Center,-13.1341956,-69.6108663,"",,Unspecified,"","",,,,,,,S58529224,"",,,,,Accipiter poliogaster,gybhaw1,Species,7661,,5.00,9,,2242,2710
172494631,Photo,Brillante de Frente Violeta,Heliodoxa leadbeateri,,Alex Wiebe,2019-08-03,2019,8,3,1159,Peru,PE-CUS,Cuzco [Cusco],,Cock-of-the-Rock Lodge & Manu Paradise Lodge,-13.0558486,-71.5452057,"",,Unspecified,"","",,,,,,,S58873812,"",,,,,Heliodoxa leadbeateri,vifbri1,Species,4565,,5.00,9,,,
82886181,Photo,Inca de Garganta Violeta,Coeligena violifer,,Alex Wiebe,2018-01-17,2018,1,17,458,Peru,PE-CUS,Cuzco [Cusco],,Wayqecha Cloud Forest Birding Lodge,-13.1750985,-71.5867263,"",,Unspecified,"","",,,,,,,S41988534,"",,,,,Coeligena violifer,vitsta1,Species,4529,,5.00,9,,2872,4150
82860951,Photo,Angel-del-Sol de Garganta Amatista,Heliangelus amethysticollis,,Alex Wiebe,2018-01-17,2018,1,17,1408,Peru,PE-CUS,Cuzco [Cusco],,Wayqecha Cloud Forest Birding Lodge,-13.1750985,-71.5867263,"",,Unspecified,"","",,,,,,,S42017241,"",,,,,Heliangelus amethysticollis,amtsun1,Species,4306,,5.00,9,,2454,3764
81148081,Photo,Chotacabras de Cola Escalera,Hydropsalis climacocerca,,Alex Wiebe,2018-01-08,2018,1,8,535,Peru,PE-MDD,Madre de Dios,,Los Amigos Biological Station (CICRA),-12.5692243,-70.1002836,"",,Unspecified,"","",,,,,,,S41743588,"",,,,Roosting at Cocha Lobo.,Hydropsalis climacocerca,latnig1,Species,3483,,5.00,9,,1632,2525
61672311,Photo,Canastero de Garganta Rayada,Asthenes humilis,,Anonymous,2013-06-29,2013,6,29,711,Peru,PE-JUN,Junín,,"PE-Junín Region - -11.4090x-76.2453 - Jun 29, 2013, 10:44 PM",-11.4089770,-76.2452780,"",,Unspecified,"","",,,,,,,S14981299,"",,,,,Asthenes humilis,sttcan1,Species,14674,,5.00,9,,2543,3947
61000921,Photo,Churrete de Vientre Blanco,Cinclodes palliatus,,Anonymous,2011-03-16,2011,3,16,0,Peru,PE-JUN,Junín,,Distrito Marcapomacocha,-11.4216298,-76.3484573,"",,Unspecified,"","",,,,,,,S7997980,"",,,,,Cinclodes palliatus,whbcin1,Species,14373,,5.00,9,,2392,3889
61000891,Photo,Churrete de Vientre Blanco,Cinclodes palliatus,,Anonymous,2011-03-16,2011,3,16,0,Peru,PE-JUN,Junín,,Distrito Marcapomacocha,-11.4216298,-76.3484573,"",,Unspecified,"","",,,,,,,S7997980,"",,,,,Cinclodes palliatus,whbcin1,Species,14373,,5.00,9,,2172,3735
205154511,Photo,Lechucita Bigotona,Xenoglaux loweryi,,Dubi Shapiro,2011-11-07,2011,11,7,0,Peru,PE-AMA,Amazonas,,ACP Abra Patricia,-5.6871246,-77.7864647,Adult – 1,,Unspecified,"","",,IBC989762,,,,,S65093246,"",,,"Adult Portrait . Elevation: 2272 m. Date added to IBC: January 15, 2017.",,Xenoglaux loweryi,lowowl1,Species,8664,,4.82,11,,535,803
263178411,Photo,Churrete de Vientre Blanco,Cinclodes palliatus,,Jeremiah Trimble,2013-07-06,2013,7,6,1007,Peru,PE-LIM,Lima,,"PE-Junín Region - -11.6225x-76.2366 - Jul 9, 2013, 9:12 AM",-11.6225490,-76.2365640,"",,Unspecified,"","",,,,,,,S14606434,"",,,,"High Count: very careful count of this critically endangered bird; group of 4 in one area and 6 in another;",Cinclodes palliatus,whbcin1,Species,14373,,4.64,14,,1800,2841
424827021,Photo,Pitajo Coronado (spodionota/boliviana),Ochthoeca frontalis spodionota/boliviana,,Ben  Lucking,2022-02-08,2022,2,8,535,Peru,PE-HUC,Huánuco,,Bosque Unchog (Valqui D5.3),-9.7373144,-76.1698347,"",,Unspecified,"","",,,,,,,S102308626,"",,,,,Ochthoeca frontalis,crocht3,Group,16506,,4.29,28,,1765,2647
221318171,Photo,Colibrí de Cola Larga Verde,Lesbia nuna,,Cameron Tescher,2019-09-01,2019,9,1,1548,Peru,PE-CUS,Cuzco [Cusco],,"PE-Cuzco (-13.2724,-72.1873)",-13.2723680,-72.1873130,"",,Unspecified,"","",,,,,,,S59439906,"",,,,,Lesbia nuna,grttra1,Species,,,4.22,32,,2650,3978
425610301,Photo,Pardusco,Nephelornis oneilli,,Ben  Lucking,2022-02-08,2022,2,8,535,Peru,PE-HUC,Huánuco,,Bosque Unchog (Valqui D5.3),-9.7373144,-76.1698347,"",Vocalizing,Unspecified,"","",,,,,,,S102308626,"",,,,,Nephelornis oneilli,pardus2,Species,33597,,4.53,17,"",1697,2546
56838561,Photo,Colibrí Cola de Espátula,Loddigesia mirabilis,,Peter Hawrylyshyn,2015-04-23,2015,4,23,730,Peru,PE-AMA,Amazonas,,Huembo Feeders,-5.8576667,-77.9847778,Adult Male,,Unspecified,"","",,,,,,,S23350283,"",,,,"<iframe width=""1280"" height=""720"" src=""https://www.youtube.com/embed/nmocmrVC0vM?rel&#61;0"" frameborder=""0""></iframe>",Loddigesia mirabilis,marspa1,Species,4499,,4.57,14,,1948,1948
56838321,Photo,Oreja-Violeta Menor,Colibri cyanotus,,Peter Hawrylyshyn,2015-04-23,2015,4,23,730,Peru,PE-AMA,Amazonas,,Huembo Feeders,-5.8576667,-77.9847778,Adult,,Unspecified,"","",,,,,,,S23350283,"",,,,"Subspecies colibri cyanotus , and NOT subspecies crissalis found in southern Peru and Bolivia.",Colibri cyanotus,lesvio1,Species,4224,,4.57,14,,1812,1812
423731911,Photo,Chorlo Cordillerano,Phegornis mitchellii,,Ben  Lucking,2022-02-11,2022,2,11,945,Peru,PE-LIM,Lima,,"Auto selected -11.58190, -76.26384",-11.5819000,-76.2638400,Immature – 1,,Unspecified,"","",,,,,,,S102445346,"",,,,,Phegornis mitchellii,diaplo1,Species,5809,,4.67,12,,1529,2293
421487851,Photo,Rayo-de-Sol Brillante,Aglaeactis cupripennis,,Oscar Wainwright,2022-01-30,2022,1,30,1308,Peru,PE-LIM,Lima,,"Auto selected -11.62373, -76.43144",-11.6237300,-76.4314420,"",,Unspecified,"","",,,,,,,S102657072,"",,,,,Aglaeactis cupripennis,shisun1,Species,4500,,4.67,12,,1785,2674
41081161,Photo,Colibrí Cola de Espátula,Loddigesia mirabilis,,David Beadle,2015-10-17,2015,10,17,630,Peru,PE-AMA,Amazonas,,Trocha Cresta de San Lorenzo,-5.8101508,-78.0210135,"",,Unspecified,"","",,,,,,,S32747737,"",,,,"male, visiting flowers at a restaurant lower down the road...",Loddigesia mirabilis,marspa1,Species,4499,,4.35,20,,2334,1818
141737311,Photo,Quetzal Crestado,Pharomachrus antisianus,,Nick Athanas,2013-09-28,2013,9,28,0,Peru,PE-CUS,Cuzco [Cusco],,Manu Road above San Pedro,-13.0644483,-71.5564338,Adult Male,,Unspecified,"","",,,,,,,S52959277,"",,,,,Pharomachrus antisianus,creque1,Species,9016,,4.73,11,,2208,2944
122313351,Photo,Chotacabras Ocelado,Nyctiphrynus ocellatus,,Alex Wiebe,2018-09-25,2018,9,25,315,Peru,PE-MDD,Madre de Dios,,Estación Biológica de Cocha Cashu,-11.8883688,-71.4079548,"",,Unspecified,"","",,,,,,,S48739836,"",,,,4040 m on 27,Nyctiphrynus ocellatus,ocepoo1,Species,3500,,4.73,11,,3456,5184
68171791,Photo,Gallinazo de Cabeza Amarilla Mayor,Cathartes melambrotus,,Bradley Hacker 🦜,2017-08-28,2017,8,28,544,Peru,PE-MDD,Madre de Dios,,Pantiacolla Lodge,-12.6322981,-71.2401581,"",,Unspecified,"","",,,,,,,S39026384,"",,,,,Cathartes melambrotus,gyhvul1,Species,7425,,4.73,11,,2391,3586
70046591,Photo,Avefría Pinta,Vanellus cayanus,,Timo Mitzen,2017-09-09,2017,9,9,608,Peru,PE-MDD,Madre de Dios,,Boat along Manu River,-12.2619580,-70.9412500,"",,Unspecified,"","",,,,,,,S39161825,"",,,,,Vanellus cayanus,pielap1,Species,5715,,4.40,20,,1588,2476
166812701,Photo,Estrellita de Vientre Blanco,Chaetocercus mulsant,,Myles McNally,2019-06-19,2019,6,19,618,Peru,PE-AMA,Amazonas,,Owlet Lodge,-5.6958200,-77.8111900,Adult Female,,Unspecified,"","",,,,,,,S57522213,"",,,,,Chaetocercus mulsant,whbwoo6,Species,4668,,4.67,12,,1600,2200
420089771,Photo,Tangara Verde Esmeralda,Chlorornis riefferii,,Ben  Lucking,2022-02-02,2022,2,2,1544,Peru,PE-JUN,Junín,,"Auto selected -11.53201, -74.81573",-11.5320150,-74.8157270,"",,Unspecified,"","",,,,,,,S101934965,"",,,,,Chlorornis riefferii,grgtan1,Species,33713,,4.80,10,,2453,3679
298139691,Photo,Colibrí Cobrizo,Metallura theresiae,,Peter Hawrylyshyn,2014-01-11,2014,1,11,730,Peru,PE-AMA,Amazonas,,Abra Barro Negro--Paso,-6.7724207,-77.8817368,Adult Male – 1,,Unspecified,"","",,,,,,,S79303527,"",,,,,Metallura theresiae,copmet1,Species,,,4.80,10,,,
205094661,Photo,Guacamayo Rojo y Verde,Ara chloropterus,,Dubi Shapiro,2010-01-01,2010,1,1,0,Peru,PE-MDD,Madre de Dios,,Blanquillo Macaw lick,-12.3266000,-70.7492000,"",,Unspecified,"","",,IBC1366787,,,,,S65091989,"",,,"A bird landing at the clay lick . Elevation: 277 m. Date added to IBC: April 9, 2017.",,Ara chloropterus,ragmac1,Species,,,4.80,10,,533,800
194516781,Photo,Matorralero Pizarroso,Atlapetes schistaceus,,Roger Ahlman,2019-11-27,2019,11,27,1430,Peru,PE-JUN,Junín,,Puente Carrizales,-11.5092947,-74.8599815,"",,Unspecified,"","",,,,,,,S61984005,"",,,,,Atlapetes schistaceus,slbfin2,Species,32214,,4.80,10,,2270,3101
132720841,Photo,Mosquero de Gorro Gris,Myiozetetes granadensis,,Amanda Guercio,2018-08-21,2018,8,21,630,Peru,PE-MDD,Madre de Dios,,Secret Forest Lodge,-12.8615733,-69.4894481,Adult,,Unspecified,"","",,,,,,,S48331200,"",,,,,Myiozetetes granadensis,grcfly1,Species,,,4.80,10,,1831,2757
121211801,Photo,Gaviotín Zarcillo,Larosterna inca,,Noah Strycker,2018-10-07,2018,10,7,945,Peru,PE-ICA,Ica,,RN Islas Ballestas,-13.7360501,-76.3951492,"",,Unspecified,"","",,,,,,,S49020167,"",,,,,Larosterna inca,incter1,Species,6502,,4.80,10,,800,1200
82886541,Photo,Silfo de Cola Larga,Aglaiocercus kingii,,Alex Wiebe,2018-01-17,2018,1,17,458,Peru,PE-CUS,Cuzco [Cusco],,Wayqecha Cloud Forest Birding Lodge,-13.1750985,-71.5867263,"",,Unspecified,"","",,,,,,,S41988534,"",,,,,Aglaiocercus kingii,lotsyl1,Species,4338,,4.80,10,,2488,3638
61613841,Photo,Fringilo-Inca de Frenillo Anteado,Incaspiza laeta,,Anonymous,2016-07-04,2016,7,4,1310,Peru,PE-CAJ,Cajamarca,,"-6.8552x-78.0295 - Jul 4, 2016, 1:28 PM",-6.8551690,-78.0294810,"",,Unspecified,"","",,,,,,,S30538576,"",,,,,Incaspiza laeta,bbifin1,Species,34262,,4.80,10,,1791,2775
57331091,Photo,Inca Bronceado,Coeligena coeligena,,Peter Hawrylyshyn,2014-01-08,2014,1,8,800,Peru,PE-AMA,Amazonas,,ACP Abra Patricia--Owlet Lodge,-5.6978731,-77.8103521,Adult,,Unspecified,"","",,,,,,,S17279519,"",,,,,Coeligena coeligena,broinc1,Species,4474,,4.80,10,,999,999
